"Rifle session started at 10:50"
#,SPEED (FPS),Δ AVG (FPS),KE (FT-LB),POWER FACTOR (KGR⋅FT/S),TIME,CLEAN BORE,COLD BORE,SHOT NOTES
1, 2824.8, 1.0, 3100.2, 494.3, 10:51:50 AM, , , 
2, 2824.3, 0.4, 3098.9, 494.2, 10:53:02 AM, , , 
3, 2822.5, -1.4, 3095.0, 493.9, 10:53:27 AM, , , 

-,,,,,,

AVERAGE SPEED,2823.8,,,,,,,
STD DEV,1.0,,,,,,,
SPREAD,2.4,,,,,,,
AVERAGE POWER FACTOR,494.2,,,,,,,
PROJECTILE WEIGHT(GRAINS),175.0,,,,,,,
AVG KINETIC ENERGY,3098.0,,,,,,,
SESSION NOTE,"",,,,,,,

-,,,,,,

DATE, "November 10, 2024 at 10:50 AM",,,,,
All shots included in the calculations,,,,,,,﻿
