"Rifle session started at 11:06"
#,SPEED (FPS),Δ AVG (FPS),KE (FT-LB),POWER FACTOR (KGR⋅FT/S),TIME,CLEAN BORE,COLD BORE,SHOT NOTES
1, 2851.3, 14.1, 3158.5, 499.0, 11:07:06 AM, , , 
2, 2833.1, -4.1, 3118.4, 495.8, 11:07:30 AM, , , 
3, 2830.3, -6.9, 3112.2, 495.3, 11:07:55 AM, , , 
4, 2837.4, 0.2, 3127.9, 496.6, 11:08:22 AM, , , 
5, 2833.9, -3.3, 3120.2, 495.9, 11:08:43 AM, , , 

-,,,,,,

AVERAGE SPEED,2837.2,,,,,,,
STD DEV,7.4,,,,,,,
SPREAD,21.0,,,,,,,
AVERAGE POWER FACTOR,496.5,,,,,,,
PROJECTILE WEIGHT(GRAINS),175.0,,,,,,,
AVG KINETIC ENERGY,3127.4,,,,,,,
SESSION NOTE,"",,,,,,,

-,,,,,,

DATE, "November 10, 2024 at 11:06 AM",,,,,
All shots included in the calculations,,,,,,,﻿
