"Rifle session started at 17:55"
#,SPEED (FPS),Δ AVG (FPS),KE (FT-LB),POWER FACTOR (KGR⋅FT/S),TIME,CLEAN BORE,COLD BORE,SHOT NOTES
1, 2534.8, 17.6, 2539.1, 451.2, 5:55:27 PM, , , 
2, 2500.6, -16.6, 2471.1, 445.1, 5:55:46 PM, , , 
3, 2522.5, 5.3, 2514.5, 449.0, 5:56:04 PM, , , 
4, 2499.9, -17.3, 2469.7, 445.0, 5:56:18 PM, , , 
5, 2528.1, 10.9, 2525.6, 450.0, 5:56:35 PM, , , 

-,,,,,,

AVERAGE SPEED,2517.2,,,,,,,
STD DEV,14.4,,,,,,,
SPREAD,34.9,,,,,,,
AVERAGE POWER FACTOR,448.1,,,,,,,
PROJECTILE WEIGHT(GRAINS),178.0,,,,,,,
AVG KINETIC ENERGY,2504.0,,,,,,,
SESSION NOTE,"",,,,,,,

-,,,,,,

DATE, "March 20, 2026 at 5:55 PM",,,,,
All shots included in the calculations,,,,,,,﻿
