224V S2 Rifle Cartridge, 88.0 gr
﻿#,Speed (FPS),Δ AVG (FPS),KE (FT-LBS),Power Factor (kgr⋅ft/s),Time,Clean Bore,Cold Bore,Shot Notes
1,2462.5,-38.5,1184.7,216.7,10:34:56,,,
2,2508.2,7.2,1229.1,220.7,10:35:02,,,
3,2502.3,1.3,1223.3,220.2,10:35:09,,,
4,2490.2,-10.8,1211.5,219.1,10:35:15,,,
5,2480.6,-20.4,1202.2,218.3,10:35:20,,,
6,2508.1,7.1,1229.0,220.7,10:35:25,,,
7,2487.9,-13.1,1209.3,218.9,10:35:32,,,
8,2519.8,18.8,1240.4,221.7,10:35:58,,,
9,2510.8,9.8,1231.6,221.0,10:36:05,,,
10,2539.6,38.6,1260.0,223.5,10:36:11,,,
-,,,,,,
AVERAGE SPEED,2501.0,,,,,
AVERAGE POWER FACTOR,220.1,,,,,
STD DEV,20.6,,,,,
SPREAD,77.1,,,,,
Projectile Weight (GRAINS),"88.0",,,,,
Session Note,,,,,,
-,,,,,,
Date,"MAY 17, 2025 10:34",,,,,
All shots included in the calculations,,,,,,
