224V S1 Rifle Cartridge, 88.0 gr
﻿#,Speed (FPS),Δ AVG (FPS),KE (FT-LBS),Power Factor (kgr⋅ft/s),Time,Clean Bore,Cold Bore,Shot Notes
1,2482.5,-17.3,1204.0,218.5,10:30:22,,,
2,2502.8,3.0,1223.8,220.2,10:30:31,,,
3,2487.4,-12.4,1208.8,218.9,10:30:39,,,
4,2515.4,15.6,1236.1,221.4,10:30:45,,,
5,2516.9,17.1,1237.6,221.5,10:30:51,,,
6,2509.7,9.9,1230.5,220.9,10:30:55,,,
7,2501.0,1.1,1222.0,220.1,10:31:01,,,
8,2505.7,5.9,1226.6,220.5,10:31:06,,,
9,2482.4,-17.5,1203.9,218.4,10:31:14,,,
10,2494.4,-5.4,1215.6,219.5,10:31:19,,,
-,,,,,,
AVERAGE SPEED,2499.8,,,,,
AVERAGE POWER FACTOR,220.0,,,,,
STD DEV,12.1,,,,,
SPREAD,34.6,,,,,
Projectile Weight (GRAINS),"88.0",,,,,
Session Note,,,,,,
-,,,,,,
Date,"MAY 17, 2025 10:28",,,,,
All shots included in the calculations,,,,,,
