"Rifle session started at 11:17"
#,SPEED (FPS),Δ AVG (FPS),KE (FT-LB),POWER FACTOR (KGR⋅FT/S),TIME,CLEAN BORE,COLD BORE,SHOT NOTES
1, 2841.5, 1.0, 3136.9, 497.3, 11:17:41 AM, , , 
2, 2831.3, -9.2, 3114.4, 495.5, 11:18:05 AM, , , 
3, 2839.0, -1.6, 3131.3, 496.8, 11:18:26 AM, , , 
4, 2850.3, 9.8, 3156.4, 498.8, 11:18:51 AM, , , 

-,,,,,,

AVERAGE SPEED,2840.5,,,,,,,
STD DEV,6.8,,,,,,,
SPREAD,19.1,,,,,,,
AVERAGE POWER FACTOR,497.1,,,,,,,
PROJECTILE WEIGHT(GRAINS),175.0,,,,,,,
AVG KINETIC ENERGY,3134.8,,,,,,,
SESSION NOTE,"",,,,,,,

-,,,,,,

DATE, "November 10, 2024 at 11:17 AM",,,,,
All shots included in the calculations,,,,,,,﻿
