"Rifle session started at 17:52"
#,SPEED (FPS),Δ AVG (FPS),KE (FT-LB),POWER FACTOR (KGR⋅FT/S),TIME,CLEAN BORE,COLD BORE,SHOT NOTES
1, 2538.5, 12.2, 2546.4, 451.8, 5:52:33 PM, , , 
2, 2533.4, 7.1, 2536.3, 451.0, 5:53:11 PM, , , 
3, 2506.4, -19.9, 2482.5, 446.1, 5:53:35 PM, , , 
4, 2545.9, 19.6, 2561.3, 453.2, 5:54:00 PM, , , 
5, 2507.3, -19.0, 2484.3, 446.3, 5:54:15 PM, , , 

-,,,,,,

AVERAGE SPEED,2526.3,,,,,,,
STD DEV,16.4,,,,,,,
SPREAD,39.5,,,,,,,
AVERAGE POWER FACTOR,449.7,,,,,,,
PROJECTILE WEIGHT(GRAINS),178.0,,,,,,,
AVG KINETIC ENERGY,2522.2,,,,,,,
SESSION NOTE,"",,,,,,,

-,,,,,,

DATE, "March 20, 2026 at 5:52 PM",,,,,
All shots included in the calculations,,,,,,,﻿
