"Rifle session started at 17:36"
#,SPEED (FPS),Δ AVG (FPS),KE (FT-LB),POWER FACTOR (KGR⋅FT/S),TIME,CLEAN BORE,COLD BORE,SHOT NOTES
1, 2509.6, 22.1, 2488.8, 446.7, 5:32:40 PM, , , 
2, 2468.4, -19.1, 2407.8, 439.4, 5:33:11 PM, , , 
3, 2505.8, 18.3, 2481.3, 446.0, 5:37:34 PM, , , 
4, 2466.3, -21.2, 2403.8, 439.0, 5:38:20 PM, , , 

-,,,,,,

AVERAGE SPEED,2487.5,,,,,,,
STD DEV,20.2,,,,,,,
SPREAD,43.3,,,,,,,
AVERAGE POWER FACTOR,442.8,,,,,,,
PROJECTILE WEIGHT(GRAINS),178.0,,,,,,,
AVG KINETIC ENERGY,2445.4,,,,,,,
SESSION NOTE,"",,,,,,,

-,,,,,,

DATE, "March 20, 2026 at 5:36 PM",,,,,
All shots included in the calculations,,,,,,,﻿
