"Rifle session started at 17:42"
#,SPEED (FPS),Δ AVG (FPS),KE (FT-LB),POWER FACTOR (KGR⋅FT/S),TIME,CLEAN BORE,COLD BORE,SHOT NOTES
1, 2512.8, 28.3, 2495.2, 447.3, 5:43:21 PM, , , 
2, 2493.9, 9.3, 2457.7, 443.9, 5:44:28 PM, , , 
3, 2466.4, -18.2, 2403.8, 439.0, 5:44:46 PM, , , 
4, 2487.3, 2.8, 2444.9, 442.7, 5:45:04 PM, , , 
5, 2462.4, -22.1, 2396.1, 438.3, 5:45:22 PM, , , 

-,,,,,,

AVERAGE SPEED,2484.6,,,,,,,
STD DEV,18.5,,,,,,,
SPREAD,50.4,,,,,,,
AVERAGE POWER FACTOR,442.3,,,,,,,
PROJECTILE WEIGHT(GRAINS),178.0,,,,,,,
AVG KINETIC ENERGY,2439.6,,,,,,,
SESSION NOTE,"",,,,,,,

-,,,,,,

DATE, "March 20, 2026 at 5:42 PM",,,,,
All shots included in the calculations,,,,,,,﻿
