"Rifle session started at 11:00"
#,SPEED (FPS),Δ AVG (FPS),KE (FT-LB),POWER FACTOR (KGR⋅FT/S),TIME,CLEAN BORE,COLD BORE,SHOT NOTES
1, 2836.6, 0.0, 3126.0, 496.4, 11:00:18 AM, , , 

-,,,,,,

AVERAGE SPEED,2836.6,,,,,,,
STD DEV,0.0,,,,,,,
SPREAD,0.0,,,,,,,
AVERAGE POWER FACTOR,496.4,,,,,,,
PROJECTILE WEIGHT(GRAINS),175.0,,,,,,,
AVG KINETIC ENERGY,3126.0,,,,,,,
SESSION NOTE,"",,,,,,,

-,,,,,,

DATE, "November 10, 2024 at 11:00 AM",,,,,
All shots included in the calculations,,,,,,,﻿
