"Rifle session started at 17:33"
#,SPEED (FPS),Δ AVG (FPS),KE (FT-LB),POWER FACTOR (KGR⋅FT/S),TIME,CLEAN BORE,COLD BORE,SHOT NOTES
1, 2487.0, -4.0, 2444.2, 442.7, 5:34:06 PM, , , 
2, 2504.3, 13.3, 2478.3, 445.8, 5:34:40 PM, , , 
3, 2504.3, 13.3, 2478.3, 445.8, 5:35:04 PM, , , 
4, 2473.3, -17.7, 2417.4, 440.3, 5:35:23 PM, , , 
5, 2486.2, -4.8, 2442.7, 442.5, 5:35:38 PM, , , 

-,,,,,,

AVERAGE SPEED,2491.0,,,,,,,
STD DEV,11.9,,,,,,,
SPREAD,31.0,,,,,,,
AVERAGE POWER FACTOR,443.4,,,,,,,
PROJECTILE WEIGHT(GRAINS),178.0,,,,,,,
AVG KINETIC ENERGY,2452.2,,,,,,,
SESSION NOTE,"",,,,,,,

-,,,,,,

DATE, "March 20, 2026 at 5:33 PM",,,,,
All shots included in the calculations,,,,,,,﻿
