"Rifle session started at 11:03"
#,SPEED (FPS),Δ AVG (FPS),KE (FT-LB),POWER FACTOR (KGR⋅FT/S),TIME,CLEAN BORE,COLD BORE,SHOT NOTES
1, 2840.1, 3.1, 3133.8, 497.0, 11:03:44 AM, , , 
2, 2822.3, -14.7, 3094.7, 493.9, 11:04:06 AM, , , 
3, 2843.6, 6.6, 3141.6, 497.6, 11:04:28 AM, , , 
4, 2841.8, 4.7, 3137.5, 497.3, 11:04:51 AM, , , 
5, 2837.4, 0.3, 3127.8, 496.5, 11:05:10 AM, , , 

-,,,,,,

AVERAGE SPEED,2837.0,,,,,,,
STD DEV,7.6,,,,,,,
SPREAD,21.3,,,,,,,
AVERAGE POWER FACTOR,496.5,,,,,,,
PROJECTILE WEIGHT(GRAINS),175.0,,,,,,,
AVG KINETIC ENERGY,3127.1,,,,,,,
SESSION NOTE,"",,,,,,,

-,,,,,,

DATE, "November 10, 2024 at 11:03 AM",,,,,
All shots included in the calculations,,,,,,,﻿
