"Rifle session started at 10:45"
#,SPEED (FPS),Δ AVG (FPS),KE (FT-LB),POWER FACTOR (KGR⋅FT/S),TIME,CLEAN BORE,COLD BORE,SHOT NOTES
1, 2816.2, 4.0, 3081.2, 492.8, 10:46:07 AM, , , 
2, 2807.3, -4.8, 3061.9, 491.3, 10:46:40 AM, , , 
3, 2813.1, 0.9, 3074.4, 492.3, 10:47:29 AM, , , 

-,,,,,,

AVERAGE SPEED,2812.2,,,,,,,
STD DEV,3.6,,,,,,,
SPREAD,8.8,,,,,,,
AVERAGE POWER FACTOR,492.1,,,,,,,
PROJECTILE WEIGHT(GRAINS),175.0,,,,,,,
AVG KINETIC ENERGY,3072.5,,,,,,,
SESSION NOTE,"",,,,,,,

-,,,,,,

DATE, "November 10, 2024 at 10:45 AM",,,,,
All shots included in the calculations,,,,,,,﻿
